Format,Unit, ,Item ID,MDPI barcode,Title Control Number,Catalog Key,OCLC,Call Sequence,Pub Year,MARC key,Ephemera Removed,Bin Barcodes,Bin Name,Ephemera Returned,Title,Author,Library,Shelving Key,Item Type,Home Location,Current Location,Item Category 2,Cataloging date code,Pagination (300a),Illustrations (300b),Size (300c),Column1,Column2,Column3,notes,pre-prioritization group,Year,Tape base,Preservation problems,Pack deformation,Reel size,Track configuration,Sound field,Item Category 1,speed,Tape thickness,Tape stock brand,number of programs,directions recorded,Variations Record Exists,Group key,Group position,Group total,position_by_shelving_key,,NOTES,
Open Reel Audio Tape,B-AAAMC,TP-S .A1975 D4.1-1 v. 2,30000036005209,40000001200338,BAF3174BM,1447193,14814767,3,1986,1543998,,40000000012437,ML-OR-132,,JEU DE ROBIN ET DE MARION,ADAM DE LA HALLE APPROXIMATELY 001235 APPROXIMATELY 001288 JEU DE ROBIN ET MARION ENGLISH,B-MUSIC,TP-S .A1975 D4.1-1 V. 2,HOUR06,_MUIUTP,_MUIUTP,REELTAPE,,2 sound tape reels (58 min.) :,"analog, 7 1/2 ips, 2 track, stereo. ;",7 in.,,,,,ML_I,1986,Polyester,,None,7 in.,Half track,Stereo,IUPERF,7.5 ips,"1.5 mil, 1.0 mil",Scotch 226/227,1,1,,BAF3174BM,2,2,2,,,
Open Reel Audio Tape,B-AAAMC,TP-S .A2138 89-12-4 v. 1,30000036005324,40000001200320,AAM9316BM,42938,21922767,2,1989,46519,x,40000000012437,ML-OR-132,,GRADUATE RECITAL,ADAMS JAY 001961,B-MUSIC,TP-S .A2138 89-12-4 V. 1,HOUR06,_MUIUTP,_MUIUTP,REELTAPE,,3 sound tape reels :,"analog, 7 1/2 ips, 2 track, stereo. ;",7 in.,,,,,ML_I,1989,Polyester,,None,7 in.,Half track,Stereo,IUPERF,7.5 ips,1.5 mil,Scotch 226,1,1,,AAM9316BM,1,3,1,,,
Open Reel Audio Tape,B-AAAMC,TP-S .A2138 89-12-4 v. 2,30000036005449,40000001200312,AAM9316BM,42938,21922767,3,1989,46519,x,40000000012437,ML-OR-132,,GRADUATE RECITAL,ADAMS JAY 001961,B-MUSIC,TP-S .A2138 89-12-4 V. 2,HOUR06,_MUIUTP,_MUIUTP,REELTAPE,,3 sound tape reels :,"analog, 7 1/2 ips, 2 track, stereo. ;",7 in.,,,,,ML_I,1989,Polyester,,None,7 in.,Half track,Stereo,IUPERF,7.5 ips,1.5 mil,Scotch 226,1,1,,AAM9316BM,2,3,2,,,
Open Reel Audio Tape,B-AAAMC,TP-S .A2138 89-12-4 v. 3,30000036005563,40000001200304,AAM9316BM,42938,21922767,4,1989,46519,x,40000000012437,ML-OR-132,,GRADUATE RECITAL,ADAMS JAY 001961,B-MUSIC,TP-S .A2138 89-12-4 V. 3,HOUR06,_MUIUTP,_MUIUTP,REELTAPE,,3 sound tape reels :,"analog, 7 1/2 ips, 2 track, stereo. ;",7 in.,,,,,ML_I,1989,Polyester,,None,7 in.,Half track,Stereo,IUPERF,7.5 ips,1.5 mil,Scotch 226,1,1,,AAM9316BM,3,3,3,,,
Open Reel Audio Tape,B-AAAMC,TP-S .A2138 91-6-19 v. 1,30000000373088,40000001200296,ABT2689BM,167685,24557392,2,1991,180198,x,40000000012437,ML-OR-132,,GRADUATE RECITAL,ADAMS JAY 001961,B-MUSIC,TP-S .A2138 91-6-19 V. 1,HOUR06,_MUIUTP,_MUIUTP,REELTAPE,,2 sound tape reels :,"analog, 7 1/2 ips, 2 track, stereo. ;",7 in.,,,,,ML_I,1991,Polyester,,None,7 in.,Half track,Stereo,IUPERF,7.5 ips,1.5 mil,Scotch 226,1,1,,ABT2689BM,1,2,1,,,
Open Reel Audio Tape,B-AAAMC,TP-S .A2138 91-6-19 v. 2,30000000373070,40000001200288,ABT2689BM,167685,24557392,3,1991,180198,x,40000000012437,ML-OR-132,,GRADUATE RECITAL,ADAMS JAY 001961,B-MUSIC,TP-S .A2138 91-6-19 V. 2,HOUR06,_MUIUTP,_MUIUTP,REELTAPE,,2 sound tape reels :,"analog, 7 1/2 ips, 2 track, stereo. ;",7 in.,,,,,ML_I,1991,Polyester,,None,7 in.,Half track,Stereo,IUPERF,7.5 ips,1.5 mil,Scotch 226,1,1,,ABT2689BM,2,2,2,,,
Open Reel Audio Tape,B-AAAMC,TP-S .A23715 92-10-23 v. 1,30000035900491,40000001200270,ACZ8315BM,322880,27321326,2,1992,350988,x,40000000012437,ML-OR-132,,GRADUATE RECITAL,ADLER COHEN MICHELE,B-MUSIC,TP-S .A23715 92-10-23 V. 1,HOUR06,_MUIUTP,_MUIUTP,REELTAPE,,2 sound tape reels :,"analog, 7 1/2 ips, 2 track, stereo. ;",7 in.,,,,,ML_I,1992,Polyester,,None,7 in.,Half track,Stereo,IUPERF,7.5 ips,1.5 mil,Scotch 226,1,1,,ACZ8315BM,1,2,1,,,
Open Reel Audio Tape,B-AAAMC,TP-S .A23715 92-10-23 v. 2,30000035900509,40000001200262,ACZ8315BM,322880,27321326,3,1992,350988,x,40000000012437,ML-OR-132,,GRADUATE RECITAL,ADLER COHEN MICHELE,B-MUSIC,TP-S .A23715 92-10-23 V. 2,HOUR06,_MUIUTP,_MUIUTP,REELTAPE,,2 sound tape reels :,"analog, 7 1/2 ips, 2 track, stereo. ;",7 in.,,,,,ML_I,1992,Polyester,,None,7 in.,Half track,Stereo,IUPERF,7.5 ips,1.5 mil,Scotch 226,1,1,,ACZ8315BM,2,2,2,,,
Open Reel Audio Tape,B-AAAMC,TP-S .A23715 93-11-5 v. 1,30000035978141,40000001200254,ADY0648BM,440150,29864585,2,1993,476366,x,40000000012437,ML-OR-132,,GRADUATE RECITAL,ADLER COHEN MICHELE,B-MUSIC,TP-S .A23715 93-11-5 V. 1,HOUR06,_MUIUTP,_MUIUTP,REELTAPE,,2 sound tape reels :,"analog, 7 1/2 ips, 2 track, stereo. ;",7 in.,,,,,ML_I,1993,Polyester,,None,7 in.,Half track,Stereo,IUPERF,7.5 ips,1.5 mil,Scotch 226,1,1,,ADY0648BM,1,2,1,,,
Open Reel Audio Tape,B-AAAMC,TP-S .A23715 93-11-5 v. 2,30000035978158,40000001200247,ADY0648BM,440150,29864585,3,1993,476366,x,40000000012437,ML-OR-132,,GRADUATE RECITAL,ADLER COHEN MICHELE,B-MUSIC,TP-S .A23715 93-11-5 V. 2,HOUR06,_MUIUTP,_MUIUTP,REELTAPE,,2 sound tape reels :,"analog, 7 1/2 ips, 2 track, stereo. ;",7 in.,,,,,ML_I,1993,Polyester,,None,7 in.,Half track,Stereo,IUPERF,7.5 ips,1.5 mil,Scotch 226,1,1,,ADY0648BM,2,2,2,,,
